Ticker,Denominação social,Nome de pregão,CNPJ,
AALR3,Alliar,CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,42771949000135
ABCB4,Abc Brasil,BCO ABC BRASIL S.A.,28.195.667/0001-06,28195667000106
ABEV3,Ambev S/A,AMBEV S.A.,07.526.557/0001-00,7526557000100
AERI3,Aeris,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,12.528.708/0001-07,12528708000107
AESB3,AES Brasil,AES BRASIL ENERGIA S.A.,37.663.076/0001-07,37663076000107
AESO3,Aesoperacoes,AES BRASIL OPERAÇÕES SA ,00.194.724/0001-13,194724000113
AFLT3,Afluente T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,10.338.320/0001-00,10338320000100
AGRO3,Brasilagro,BRASILAGRO – CIA BRAS DE PROP AGRICOLAS,07.628.528/0001-59,7628528000159
AGXY3,Agrogalaxy,AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,21240146000184
AHEB3,SPturis,SAO PAULO TURISMO S.A.,62.002.886/0001-60,62002886000160
AHEB5,SPturis,SAO PAULO TURISMO S.A.,62.002.886/0001-60,62002886000160
AHEB6,SPturis,SAO PAULO TURISMO S.A.,62.002.886/0001-60,62002886000160
ALLD3,Allied,ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,20247322000147
ALPA3,Alpargatas,ALPARGATAS S.A.,61.079.117/0001-05,61079117000105
ALPA4,Alpargatas,ALPARGATAS S.A.,61.079.117/0001-05,61079117000105
ALPK3,Estapar,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,60.537.263/0001-66,60537263000166
ALSO3,Alianscsonae,ALIANSCE SONAE SHOPPING CENTERS S.A.,05.878.397/0001-32,5878397000132
ALUP11,Alupar,ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,8364948000138
ALUP3,Alupar,ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,8364948000138
ALUP4,Alupar,ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,8364948000138
AMAR3,Lojas Marisa,MARISA LOJAS S.A.,61.189.288/0001-89,61189288000189
AMBP3,Ambipar,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,12.648.266/0001-24,12648266000124
AMER3,Americanas,AMERICANAS S.A,00.776.574/0001-56,776574000156
ANIM3,Anima,ANIMA HOLDING S.A.,09.288.252/0001-32,9288252000132
APER3,Alper S.A.,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,11.721.921/0001-60,11721921000160
APTI3,Aliperti,SIDERURGICA J. L. ALIPERTI S.A.,61.156.931/0001-78,61156931000178
APTI4,Aliperti,SIDERURGICA J. L. ALIPERTI S.A.,61.156.931/0001-78,61156931000178
ARML3,Armac,ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,00.242.184/0001-04,242184000104
ARZZ3,Arezzo Co,AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76,16590234000176
ASAI3,Assai,SENDAS DISTRIBUIDORA S.A.,06.057.223/0001-71,6057223000171
ATMP3,Atmasa,ATMA PARTICIPAÇÕES S.A.,04.032.433/0001-80,4032433000180
ATOM3,Atompar,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,00.359.742/0001-08,359742000108
AURA33,Aura 360,AURA MINERALS INC.,07.857.093/0001-14,7857093000114
AURE3,AUREN,AUREN ENERGIA S.A.,28.594.234/0001-23,28594234000123
AVLL3,Alphaville,ALPHAVILLE S.A.,16.811.931/0001-00,16811931000100
AZEV3,Azevedo,AZEVEDO E TRAVASSOS S.A.,61.351.532/0001-68,61351532000168
AZEV4,Azevedo,AZEVEDO E TRAVASSOS S.A.,61.351.532/0001-68,61351532000168
AZUL4,Azul,AZUL S.A.,09.305.994/0001-29,9305994000129
B3SA3,B3,"B3 S.A. – BRASIL, BOLSA, BALCÃO",09.346.601/0001-25,9346601000125
BAHI3,Bahema,BAHEMA EDUCAÇÃO S.A.,45.987.245/0001-92,45987245000192
BALM3,Baumer,BAUMER S.A.,61.374.161/0001-30,61374161000130
BALM4,Baumer,BAUMER S.A.,61.374.161/0001-30,61374161000130
BAUH3,Excelsior,EXCELSIOR ALIMENTOS S.A.,95.426.862/0001-97,95426862000197
BAUH4,Excelsior,EXCELSIOR ALIMENTOS S.A.,95.426.862/0001-97,95426862000197
BAZA3,Amazonia,BCO AMAZONIA S.A.,04.902.979/0001-44,4902979000144
BBAS3,Brasil,BCO BRASIL S.A.,00.000.000/0001-91,191
BBDC3,Bradesco,BCO BRADESCO S.A.,60.746.948/0001-12,60746948000112
BBDC4,Bradesco,BCO BRADESCO S.A.,60.746.948/0001-12,60746948000112
BBML3,Bbmlogistica,BBM LOGISTICA S.A.,01.107.327/0001-20,1107327000120
BBSE3,BBSeguridade,BB SEGURIDADE PARTICIPAÇÕES S.A.,17.344.597/0001-94,17344597000194
BDLL3,Bardella,BARDELLA S.A. INDUSTRIAS MECANICAS,60.851.615/0001-53,60851615000153
BDLL4,Bardella,BARDELLA S.A. INDUSTRIAS MECANICAS,60.851.615/0001-53,60851615000153
BEEF3,Minerva,MINERVA S.A.,67.620.377/0001-14,67620377000114
BEES3,Banestes,BANESTES S.A. – BCO EST ESPIRITO SANTO,28.127.603/0001-78,28127603000178
BEES4,Banestes,BANESTES S.A. – BCO EST ESPIRITO SANTO,28.127.603/0001-78,28127603000178
BETP3B,Betapart,BETAPART PARTICIPACOES S.A.,02.762.124/0001-30,2762124000130
BGIP3,Banese,BCO ESTADO DE SERGIPE S.A. – BANESE,13.009.717/0001-46,13009717000146
BGIP4,Banese,BCO ESTADO DE SERGIPE S.A. – BANESE,13.009.717/0001-46,13009717000146
BIOM3,Biomm,BIOMM S.A.,04.752.991/0001-10,4752991000110
BLAU3,Blau,BLAU FARMACÊUTICA S.A.,58.430.828/0001-60,58430828000160
BMEB3,Merc Brasil,BCO MERCANTIL DO BRASIL S.A.,17.184.037/0001-10,17184037000110
BMEB4,Merc Brasil,BCO MERCANTIL DO BRASIL S.A.,17.184.037/0001-10,17184037000110
BMGB4,Banco BMG,BANCO BMG S.A.,61.186.680/0001-74,61186680000174
BMIN3,Merc Invest,BCO MERCANTIL DE INVESTIMENTOS S.A.,34.169.557/0001-72,34169557000172
BMIN4,Merc Invest,BCO MERCANTIL DE INVESTIMENTOS S.A.,34.169.557/0001-72,34169557000172
BMKS3,Bic Monark,BICICLETAS MONARK S.A.,56.992.423/0001-90,56992423000190
BMOB3,Bemobi Tech,BEMOBI MOBILE TECH S.A.,09.042.817/0001-05,9042817000105
BNBR3,Nord Brasil,BCO NORDESTE DO BRASIL S.A.,07.237.373/0001-20,7237373000120
BOAS3,Boa Vista,BOA VISTA SERVIÇOS S.A.,11.725.176/0001-27,11725176000127
BOBR3,Bombril,BOMBRIL S.A.,50.564.053/0001-03,50564053000103
BOBR4,Bombril,BOMBRIL S.A.,50.564.053/0001-03,50564053000103
BPAC11,Btgp Banco,BCO BTG PACTUAL S.A.,30.306.294/0001-45,30306294000145
